,team,Name,b_o,pj_vO
0,MIA,Miguel Rojas,1,9.17
1,MIA,Jesus Aguilar,2,10.84
2,MIA,Corey Dickerson,3,7.0
3,MIA,Adam Duvall,4,7.77
4,MIA,Jon Berti,5,5.47
5,MIA,Brian Anderson,6,5.88
6,MIA,Sandy Leon,7,4.0
7,MIA,Magneuris Sierra,8,2.05
8,ARI,Pavin Smith,1,4.8
9,ARI,Carson Kelly,2,6.11
10,ARI,Asdrubal Cabrera,3,5.24
11,ARI,Eduardo Escobar,4,4.45
12,ARI,Josh Rojas,6,4.63
13,ARI,Nick Ahmed,7,3.25
14,ARI,Tim Locastro,8,4.05
15,CLE,Cesar Hernandez,1,6.45
16,CLE,Amed Rosario,2,5.48
17,CLE,Jose Ramirez,3,9.3
18,CLE,Eddie Rosario,4,6.9
19,CLE,Franmil Reyes,5,8.8
20,CLE,Josh Naylor,6,5.72
21,CLE,Harold Ramirez,7,4.5
22,CLE,Jake Bauers,8,2.66
23,CLE,Austin Hedges,9,3.86
24,SEA,Mitch Haniger,2,7.73
25,SEA,Kyle Seager,3,6.41
26,SEA,Kyle Lewis,4,5.1
27,SEA,Ty France,5,5.65
28,SEA,J.P. Crawford,6,4.59
29,SEA,Luis Torrens,7,3.66
30,SEA,Dylan Moore,8,4.43
31,SEA,Evan White,9,3.21
0,MIA,Trevor Rogers,SP,21.95
1,ARI,Merrill Kelly,SP,11.9
2,CLE,Zach Plesac,SP,15.86
