Date,Lineup Type,1,2,3,4,5,6,7,8,9,10,Proj
05-09-21,APPG,Start_Adam_Wainwright,Start_Adolis_Garcia,Start_Harrison_Bader,Start_Kris_Bryant,Start_Nate_Lowe,Start_Nolan_Arenado,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Whit_Merrifield,Start_Yadier_Molina,106.56
05-09-21,pj_vO,Start_Adolis_Garcia,Start_Carlos_Santana,Start_Dylan_Carlson,Start_Harrison_Bader,Start_Lucas_Giolito,Start_Nolan_Arenado,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Whit_Merrifield,Start_Yadier_Molina,113.0
05-09-21,APPG_1-6,Start_Adolis_Garcia,Start_Dane_Dunning,Start_Kris_Bryant,Start_Mitch_Haniger,Start_Nolan_Arenado,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Vladimir_Guerrero_Jr.,Start_Whit_Merrifield,Start_Yadier_Molina,105.47
05-09-21,pj_vO_1-6,Start_Adolis_Garcia,Start_Carlos_Santana,Start_Dylan_Carlson,Start_Lucas_Giolito,Start_Nolan_Arenado,Start_Raimel_Tapia,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Whit_Merrifield,Start_Yadier_Molina,112.08
05-09-21,APPG_1-5,Start_Adolis_Garcia,Start_Dane_Dunning,Start_Kris_Bryant,Start_Mitch_Haniger,Start_Salvador_Perez,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Vladimir_Guerrero_Jr.,Start_Whit_Merrifield,Start_Yoan_Moncada,103.78999999999999
05-09-21,pj_vO_1-5,Start_Adolis_Garcia,Start_Carlos_Santana,Start_Dane_Dunning,Start_Dylan_Carlson,Start_Nolan_Arenado,Start_Raimel_Tapia,Start_Salvador_Perez,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Whit_Merrifield,110.19999999999999
05-09-21,APPG_1-4,Start_Adolis_Garcia,Start_Dane_Dunning,Start_Kris_Bryant,Start_Mitch_Haniger,Start_Salvador_Perez,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Vladimir_Guerrero_Jr.,Start_Whit_Merrifield,Start_Yoan_Moncada,103.78999999999999
05-09-21,pj_vO_1-4,Start_Adolis_Garcia,Start_Carlos_Santana,Start_Dane_Dunning,Start_Dylan_Carlson,Start_Nolan_Arenado,Start_Raimel_Tapia,Start_Salvador_Perez,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Whit_Merrifield,110.19999999999999
05-09-21,APPG_1-3,Start_Adam_Wainwright,Start_Andrew_Benintendi,Start_Dylan_Carlson,Start_Mitch_Haniger,Start_Salvador_Perez,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Vladimir_Guerrero_Jr.,Start_Whit_Merrifield,Start_Yoan_Moncada,100.63
05-09-21,pj_vO_1-3,Start_Andrew_Benintendi,Start_Dylan_Carlson,Start_Lucas_Giolito,Start_Nate_Lowe,Start_Raimel_Tapia,Start_Salvador_Perez,Start_Tim_Anderson,Start_Tyler_Anderson,Start_Whit_Merrifield,Start_Yoan_Moncada,107.05
