,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003,Adam Wainwright,9.100000000000003
2,Byron Buxton,Byron Buxton,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Byron Buxton,Byron Buxton,Adolis Garcia,Adolis Garcia,Adolis Garcia,Byron Buxton,Byron Buxton,Adrian Houser,Adrian Houser,Adrian Houser,Byron Buxton,Byron Buxton,Christian Yelich,Christian Yelich,Christian Yelich,Byron Buxton,9.0,Byron Buxton,9.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Byron Buxton,9.0,Byron Buxton,9.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Byron Buxton,9.0,Byron Buxton,9.0,Adrian Houser,10.5,Adrian Houser,10.5,Adrian Houser,10.5,Byron Buxton,9.0,Byron Buxton,9.0,Christian Yelich,6.0,Christian Yelich,6.0,Christian Yelich,6.0
3,Dane Dunning,Dane Dunning,Adrian Houser,Adrian Houser,Adrian Houser,Byron Buxton,Byron Buxton,Adrian Houser,Adrian Houser,Adrian Houser,Dane Dunning,Dane Dunning,Adrian Houser,Adrian Houser,Adrian Houser,Dane Dunning,Dane Dunning,Christian Yelich,Christian Yelich,Christian Yelich,Dane Dunning,Dane Dunning,Dane Dunning,Dane Dunning,Dane Dunning,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Adrian Houser,10.5,Adrian Houser,10.5,Adrian Houser,10.5,Byron Buxton,9.0,Byron Buxton,9.0,Adrian Houser,10.5,Adrian Houser,10.5,Adrian Houser,10.5,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Adrian Houser,10.5,Adrian Houser,10.5,Adrian Houser,10.5,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Christian Yelich,6.0,Christian Yelich,6.0,Christian Yelich,6.0,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003
4,Harrison Bader,Harrison Bader,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Dane Dunning,Dane Dunning,Didi Gregorius,Didi Gregorius,Didi Gregorius,J.T. Realmuto,J.T. Realmuto,Didi Gregorius,Didi Gregorius,Didi Gregorius,Didi Gregorius,Didi Gregorius,Didi Gregorius,Didi Gregorius,Didi Gregorius,Francisco Lindor,Francisco Lindor,Francisco Lindor,Francisco Lindor,Francisco Lindor,Harrison Bader,14.0,Harrison Bader,14.0,Isiah Kiner-Falefa,10.0,Isiah Kiner-Falefa,10.0,Isiah Kiner-Falefa,10.0,Dane Dunning,14.700000000000003,Dane Dunning,14.700000000000003,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Didi Gregorius,10.0,Francisco Lindor,2.0,Francisco Lindor,2.0,Francisco Lindor,2.0,Francisco Lindor,2.0,Francisco Lindor,2.0
5,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Jose Trevino,Jose Trevino,Jose Trevino,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Lorenzo Cain,Lorenzo Cain,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Isiah Kiner-Falefa,10.0,Isiah Kiner-Falefa,10.0,Jose Trevino,0.0,Jose Trevino,0.0,Jose Trevino,0.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0,J.T. Realmuto,16.0
6,J.T. Realmuto,J.T. Realmuto,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Nate Lowe,Nate Lowe,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Nate Lowe,Nate Lowe,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Josh Donaldson,Josh Donaldson,Josh Donaldson,Josh Donaldson,Josh Donaldson,J.T. Realmuto,16.0,J.T. Realmuto,16.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Nate Lowe,15.0,Nate Lowe,15.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Nate Lowe,15.0,Nate Lowe,15.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Josh Donaldson,7.0,Josh Donaldson,7.0,Josh Donaldson,7.0,Josh Donaldson,7.0,Josh Donaldson,7.0
7,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nate Lowe,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Kolten Wong,Kolten Wong,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nick Solak,5.0,Nick Solak,5.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nick Solak,5.0,Nick Solak,5.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0,Kolten Wong,7.0,Kolten Wong,7.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0
8,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nolan Arenado,Nolan Arenado,Nick Solak,Nick Solak,Nick Solak,Nolan Arenado,Nolan Arenado,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Lorenzo Cain,Lorenzo Cain,Nate Lowe,Nate Lowe,Nate Lowe,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nolan Arenado,20.0,Nolan Arenado,20.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nolan Arenado,20.0,Nolan Arenado,20.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Nate Lowe,15.0,Nate Lowe,15.0,Nate Lowe,15.0
9,Nolan Arenado,Nolan Arenado,Travis Shaw,Travis Shaw,Travis Shaw,Paul DeJong,Paul DeJong,Travis Shaw,Travis Shaw,Travis Shaw,Paul DeJong,Paul DeJong,Travis Shaw,Travis Shaw,Travis Shaw,Nolan Arenado,Nolan Arenado,Travis Shaw,Travis Shaw,Travis Shaw,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nick Solak,Nolan Arenado,20.0,Nolan Arenado,20.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Paul DeJong,10.0,Paul DeJong,10.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Paul DeJong,10.0,Paul DeJong,10.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Nolan Arenado,20.0,Nolan Arenado,20.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Nate Lowe,15.0,Nate Lowe,15.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0
