,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPG_1-4,pj_vO_1-4,APPG_1-3,pj_vO_1-3,APPGa,APPGa_1-6,APPGa_1-5,APPGa_1-4,APPGa_1-3,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_APPGa,Total_APPGa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPGa_1-3,Total_APPGa_1-3
0,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andrew Benintendi,Harold Ramirez,Andrew Benintendi,Didi Gregorius,Andrew Benintendi,Adam Frazier,Adolis Garcia,Adam Frazier,Andrew Benintendi,Adam Frazier,Chris Taylor,Chris Taylor,Chris Taylor,Adolis Garcia,Andrew Benintendi,Andrew Benintendi,11.0,Harold Ramirez,14.0,Andrew Benintendi,11.0,Didi Gregorius,7.0,Andrew Benintendi,11.0,Adam Frazier,9.0,Adolis Garcia,24.0,Adam Frazier,9.0,Andrew Benintendi,11.0,Adam Frazier,9.0,Chris Taylor,5.0,Chris Taylor,5.0,Chris Taylor,5.0,Adolis Garcia,24.0,Andrew Benintendi,11.0
2,Eric Lauer,Jacob Nottingham,Eric Lauer,Harold Ramirez,Eric Lauer,Didi Gregorius,Andrew Benintendi,Eric Lauer,Austin Hays,Eric Lauer,Eric Lauer,Eric Lauer,Eric Lauer,Andrew Benintendi,Austin Hays,Eric Lauer,18.7,Jacob Nottingham,0.0,Eric Lauer,18.7,Harold Ramirez,14.0,Eric Lauer,18.7,Didi Gregorius,7.0,Andrew Benintendi,11.0,Eric Lauer,18.7,Austin Hays,0.0,Eric Lauer,18.7,Eric Lauer,18.7,Eric Lauer,18.7,Eric Lauer,18.7,Andrew Benintendi,11.0,Austin Hays,0.0
3,Harold Ramirez,Jed Lowrie,Harold Ramirez,Jed Lowrie,Harold Ramirez,Eric Lauer,Eric Lauer,Javier Baez,Eric Lauer,J.T. Realmuto,Harold Ramirez,Harold Ramirez,Harold Ramirez,Eric Lauer,Eric Lauer,Harold Ramirez,14.0,Jed Lowrie,14.0,Harold Ramirez,14.0,Jed Lowrie,14.0,Harold Ramirez,14.0,Eric Lauer,18.7,Eric Lauer,18.7,Javier Baez,20.0,Eric Lauer,18.7,J.T. Realmuto,2.0,Harold Ramirez,14.0,Harold Ramirez,14.0,Harold Ramirez,14.0,Eric Lauer,18.7,Eric Lauer,18.7
4,Jacob Nottingham,Jose Ramirez,Josh Harrison,Kyle Seager,Josh Harrison,Harold Ramirez,Javier Baez,Kyle Seager,Josh Harrison,Kyle Seager,Jacob Nottingham,Jacob Stallings,Mitch Haniger,Javier Baez,Josh Harrison,Jacob Nottingham,0.0,Jose Ramirez,5.0,Josh Harrison,2.0,Kyle Seager,16.0,Josh Harrison,2.0,Harold Ramirez,14.0,Javier Baez,20.0,Kyle Seager,16.0,Josh Harrison,2.0,Kyle Seager,16.0,Jacob Nottingham,0.0,Jacob Stallings,4.0,Mitch Haniger,4.0,Javier Baez,20.0,Josh Harrison,2.0
5,Javier Baez,Mark Canha,Justin Turner,Manuel Margot,Justin Turner,Jose Ramirez,Josh Harrison,Manuel Margot,Justin Turner,Luis Urias,Javier Baez,Javier Baez,Nate Lowe,Josh Harrison,Justin Turner,Javier Baez,20.0,Mark Canha,5.0,Justin Turner,16.0,Manuel Margot,2.0,Justin Turner,16.0,Jose Ramirez,5.0,Josh Harrison,2.0,Manuel Margot,2.0,Justin Turner,16.0,Luis Urias,7.0,Javier Baez,20.0,Javier Baez,20.0,Nate Lowe,7.0,Josh Harrison,2.0,Justin Turner,16.0
6,Josh Harrison,Matt Olson,Mitch Haniger,Matt Olson,Mitch Haniger,Matt Olson,Mitch Haniger,Mark Canha,Luis Urias,Manuel Margot,Justin Turner,Justin Turner,Travis Shaw,Mitch Haniger,Luis Urias,Josh Harrison,2.0,Matt Olson,0.0,Mitch Haniger,4.0,Matt Olson,0.0,Mitch Haniger,4.0,Matt Olson,0.0,Mitch Haniger,4.0,Mark Canha,5.0,Luis Urias,7.0,Manuel Margot,2.0,Justin Turner,16.0,Justin Turner,16.0,Travis Shaw,8.0,Mitch Haniger,4.0,Luis Urias,7.0
7,Justin Turner,Mitch Haniger,Nate Lowe,Mitch Haniger,Nate Lowe,Mitch Haniger,Nate Lowe,Matt Olson,Mitch Haniger,Matt Olson,Matt Olson,Mitch Haniger,Trea Turner,Nate Lowe,Mitch Haniger,Justin Turner,16.0,Mitch Haniger,4.0,Nate Lowe,7.0,Mitch Haniger,4.0,Nate Lowe,7.0,Mitch Haniger,4.0,Nate Lowe,7.0,Matt Olson,0.0,Mitch Haniger,4.0,Matt Olson,0.0,Matt Olson,0.0,Mitch Haniger,4.0,Trea Turner,8.0,Nate Lowe,7.0,Mitch Haniger,4.0
8,Nate Lowe,Nick Pivetta,Trea Turner,Nick Pivetta,Trea Turner,Nick Pivetta,Travis Shaw,Mitch Haniger,Nate Lowe,Mitch Haniger,Mitch Haniger,Nate Lowe,Trevor Bauer,Travis Shaw,Nate Lowe,Nate Lowe,7.0,Nick Pivetta,20.45,Trea Turner,8.0,Nick Pivetta,20.45,Trea Turner,8.0,Nick Pivetta,20.45,Travis Shaw,8.0,Mitch Haniger,4.0,Nate Lowe,7.0,Mitch Haniger,4.0,Mitch Haniger,4.0,Nate Lowe,7.0,Trevor Bauer,15.825000000000005,Travis Shaw,8.0,Nate Lowe,7.0
9,Ronald Acuna Jr.,Trevor Bauer,Trevor Bauer,Sean Murphy,Trevor Bauer,Ramon Laureano,Trevor Bauer,Nick Pivetta,Trevor Bauer,Nick Pivetta,Trevor Bauer,Trevor Bauer,Willson Contreras,Trevor Bauer,Trevor Bauer,Ronald Acuna Jr.,17.0,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Sean Murphy,9.0,Trevor Bauer,15.825000000000005,Ramon Laureano,2.0,Trevor Bauer,15.825000000000005,Nick Pivetta,20.45,Trevor Bauer,15.825000000000005,Nick Pivetta,20.45,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Willson Contreras,4.0,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005
