,APPGa,APPG,pj_vO,pj_vOa,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3
0,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alec Bohm,Avisail Garcia,Danny Duffy,Danny Duffy,Avisail Garcia,Avisail Garcia,Aaron Hicks,Bo Bichette,Avisail Garcia,Avisail Garcia,Andrew Stevenson,Avisail Garcia,Danny Duffy,Danny Duffy,Andrew Stevenson,Andrew Stevenson,Daniel Vogelbach,Daniel Vogelbach,Aaron Judge,Aaron Judge,Alec Bohm,2.0,Avisail Garcia,18.0,Danny Duffy,16.1,Danny Duffy,16.1,Avisail Garcia,18.0,Avisail Garcia,18.0,Aaron Hicks,2.0,Bo Bichette,10.0,Avisail Garcia,18.0,Avisail Garcia,18.0,Andrew Stevenson,3.0,Avisail Garcia,18.0,Danny Duffy,16.1,Danny Duffy,16.1,Andrew Stevenson,3.0,Andrew Stevenson,3.0,Daniel Vogelbach,7.0,Daniel Vogelbach,7.0,Aaron Judge,11.0,Aaron Judge,11.0
2,Danny Duffy,Danny Duffy,Elvis Andrus,Elvis Andrus,Danny Duffy,Danny Duffy,Bo Bichette,Gerrit Cole,Danny Duffy,Danny Duffy,Bo Bichette,Bo Bichette,Dylan Carlson,Dylan Carlson,Bo Bichette,Bo Bichette,Danny Duffy,Danny Duffy,Andrew Stevenson,Andrew Stevenson,Danny Duffy,16.1,Danny Duffy,16.1,Elvis Andrus,10.0,Elvis Andrus,10.0,Danny Duffy,16.1,Danny Duffy,16.1,Bo Bichette,10.0,Gerrit Cole,43.6,Danny Duffy,16.1,Danny Duffy,16.1,Bo Bichette,10.0,Bo Bichette,10.0,Dylan Carlson,0.0,Dylan Carlson,0.0,Bo Bichette,10.0,Bo Bichette,10.0,Danny Duffy,16.1,Danny Duffy,16.1,Andrew Stevenson,3.0,Andrew Stevenson,3.0
3,Gerrit Cole,Gerrit Cole,Gerrit Cole,Gerrit Cole,Dylan Carlson,Dylan Carlson,Casey Mize,Gio Urshela,Dylan Carlson,Dylan Carlson,Casey Mize,Gerrit Cole,Gerrit Cole,Gerrit Cole,Casey Mize,Casey Mize,Dylan Carlson,Dylan Carlson,Bo Bichette,Bo Bichette,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Dylan Carlson,0.0,Dylan Carlson,0.0,Casey Mize,17.9,Gio Urshela,8.0,Dylan Carlson,0.0,Dylan Carlson,0.0,Casey Mize,17.9,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Casey Mize,17.9,Casey Mize,17.9,Dylan Carlson,0.0,Dylan Carlson,0.0,Bo Bichette,10.0,Bo Bichette,10.0
4,Harrison Bader,Harrison Bader,Gio Urshela,Gio Urshela,Gerrit Cole,Gerrit Cole,Danny Duffy,Lourdes Gurriel Jr.,Gerrit Cole,Gerrit Cole,Gerrit Cole,Gio Urshela,Kolten Wong,Kolten Wong,Danny Duffy,Danny Duffy,Gerrit Cole,Gerrit Cole,Casey Mize,Casey Mize,Harrison Bader,6.0,Harrison Bader,6.0,Gio Urshela,8.0,Gio Urshela,8.0,Gerrit Cole,43.6,Gerrit Cole,43.6,Danny Duffy,16.1,Lourdes Gurriel Jr.,0.0,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Gio Urshela,8.0,Kolten Wong,0.0,Kolten Wong,0.0,Danny Duffy,16.1,Danny Duffy,16.1,Gerrit Cole,43.6,Gerrit Cole,43.6,Casey Mize,17.9,Casey Mize,17.9
5,Marcus Semien,Marcus Semien,Kyle Higashioka,Kyle Higashioka,Marcus Semien,Marcus Semien,Gio Urshela,Marcus Semien,Lorenzo Cain,Lorenzo Cain,Gio Urshela,Marcus Semien,Mark Canha,Mark Canha,Giancarlo Stanton,Giancarlo Stanton,Jeimer Candelario,Jeimer Candelario,Gerrit Cole,Gerrit Cole,Marcus Semien,7.0,Marcus Semien,7.0,Kyle Higashioka,0.0,Kyle Higashioka,0.0,Marcus Semien,7.0,Marcus Semien,7.0,Gio Urshela,8.0,Marcus Semien,7.0,Lorenzo Cain,12.0,Lorenzo Cain,12.0,Gio Urshela,8.0,Marcus Semien,7.0,Mark Canha,5.0,Mark Canha,5.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Jeimer Candelario,11.0,Jeimer Candelario,11.0,Gerrit Cole,43.6,Gerrit Cole,43.6
6,Michael Chavis,Matt Olson,Lourdes Gurriel Jr.,Lourdes Gurriel Jr.,Mark Canha,Mark Canha,Marcus Semien,Randal Grichuk,Marcus Semien,Marcus Semien,Marcus Semien,Randal Grichuk,Miguel Cabrera,Miguel Cabrera,Gio Urshela,Gio Urshela,Kolten Wong,Kolten Wong,Jeimer Candelario,Jeimer Candelario,Michael Chavis,0.0,Matt Olson,14.0,Lourdes Gurriel Jr.,0.0,Lourdes Gurriel Jr.,0.0,Mark Canha,5.0,Mark Canha,5.0,Marcus Semien,7.0,Randal Grichuk,0.0,Marcus Semien,7.0,Marcus Semien,7.0,Marcus Semien,7.0,Randal Grichuk,0.0,Miguel Cabrera,10.0,Miguel Cabrera,10.0,Gio Urshela,8.0,Gio Urshela,8.0,Kolten Wong,0.0,Kolten Wong,0.0,Jeimer Candelario,11.0,Jeimer Candelario,11.0
7,Niko Goodrum,Travis Shaw,Marcus Semien,Marcus Semien,Matt Olson,Matt Olson,Randal Grichuk,Salvador Perez,Matt Olson,Matt Olson,Randal Grichuk,Salvador Perez,Salvador Perez,Salvador Perez,Marcus Semien,Marcus Semien,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Niko Goodrum,11.0,Travis Shaw,11.0,Marcus Semien,7.0,Marcus Semien,7.0,Matt Olson,14.0,Matt Olson,14.0,Randal Grichuk,0.0,Salvador Perez,10.0,Matt Olson,14.0,Matt Olson,14.0,Randal Grichuk,0.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Marcus Semien,7.0,Marcus Semien,7.0,Lorenzo Cain,12.0,Lorenzo Cain,12.0,Lorenzo Cain,12.0,Lorenzo Cain,12.0
8,Ronald Acuna Jr.,Trea Turner,Randal Grichuk,Randal Grichuk,Niko Goodrum,Niko Goodrum,Salvador Perez,Teoscar Hernandez,Niko Goodrum,Niko Goodrum,Salvador Perez,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Salvador Perez,Salvador Perez,Robbie Grossman,Robbie Grossman,Marcus Semien,Marcus Semien,Ronald Acuna Jr.,2.0,Trea Turner,5.0,Randal Grichuk,0.0,Randal Grichuk,0.0,Niko Goodrum,11.0,Niko Goodrum,11.0,Salvador Perez,10.0,Teoscar Hernandez,32.0,Niko Goodrum,11.0,Niko Goodrum,11.0,Salvador Perez,10.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Salvador Perez,10.0,Salvador Perez,10.0,Robbie Grossman,10.0,Robbie Grossman,10.0,Marcus Semien,7.0,Marcus Semien,7.0
9,Tyler O'Neill,Tyler O'Neill,Teoscar Hernandez,Teoscar Hernandez,Travis Shaw,Travis Shaw,Teoscar Hernandez,Vladimir Guerrero Jr.,Salvador Perez,Salvador Perez,Teoscar Hernandez,Vladimir Guerrero Jr.,Travis Shaw,Travis Shaw,Teoscar Hernandez,Teoscar Hernandez,Salvador Perez,Salvador Perez,Salvador Perez,Salvador Perez,Tyler O'Neill,14.0,Tyler O'Neill,14.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Travis Shaw,11.0,Travis Shaw,11.0,Teoscar Hernandez,32.0,Vladimir Guerrero Jr.,0.0,Salvador Perez,10.0,Salvador Perez,10.0,Teoscar Hernandez,32.0,Vladimir Guerrero Jr.,0.0,Travis Shaw,11.0,Travis Shaw,11.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0
